country_name,3 letter country code,Total confirmed cases,Total vaccinations
Afghanistan,AFG,352280,10827184
Albania,ALB,330149,1335654
Algeria,DZA,270570,7840131
Andorra,AND,46147,57317
Angola,AGO,103131,14220830
Anguilla,AIA,3856,10846
Antigua and Barbuda,ATG,9008,64091
Argentina,ARG,27450377,52967364
Armenia,ARM,439302,1129104
Aruba,ABW,42970,74151
Australia,AUS,20327173,82763045
Austria,AUT,15025546,13184659
Azerbaijan,AZE,818634,5373253
Bahamas,BHS,37171,172588
Bahrain,BHR,674909,1201437
Bangladesh,BGD,2559498,131389148
Barbados,BRB,101979,158986
Belarus,BLR,994037,6498901
Belgium,BEL,8947328,9541981
Belize,BLZ,68612,250319
Benin,BEN,27638,3671646
Bermuda,BMU,18019,48554
Bhutan,BTN,61419,695693
Bolivia,BOL,1106538,12401608
Bosnia and Herzegovina,BIH,397602,943394
Botswana,BWA,326107,1502742
Brazil,BRA,109948210,362612803
British Virgin Islands,VGB,7305,8187
Brunei,BRN,224610,449429
Bulgaria,BGR,1250250,2099212
Burkina Faso,BFA,21128,2676883
Burundi,BDI,49882,18764
Cambodia,KHM,137739,15172499
Cameroon,CMR,121652,1569870
Canada,CAN,7914343,93796514
Cape Verde,CPV,62346,356355
Cayman Islands,CYM,30545,61663
Central African Republic,CAF,14903,1454656
Chad,TCD,7558,3733869
Chile,CHL,13636490,18064495
China,CHN,7758224,680773000
Colombia,COL,17784672,41884807
Comoros,COM,8467,409815
Cook Islands,COK,6389,10670
Costa Rica,CRI,1105792,4463581
Croatia,HRV,1222007,2309901
Cuba,CUB,1110948,10631102
Curaçao,CUW,45345,93067
Cyprus,CYP,579899,665446
Czech Republic,CZE,12154031,13947454
Democratic Republic of the Congo,COD,107130,4386801
Denmark,DNK,3283706,4816889
Djibouti,DJI,15690,215597
Dominica,DMA,14852,32872
Dominican Republic,DOM,641677,7276353
East Timor,TLS,23237,847592
Ecuador,ECU,999837,15237316
Egypt,EGY,515348,52691386
El Salvador,SLV,201785,4630037
Equatorial Guinea,GNQ,16894,264344
Estonia,EST,1187216,866338
Ethiopia,ETH,493367,42681242
Falkland Islands,FLK,1886,2632
Faroe Islands,FRO,34658,37722
Fiji,FJI,68207,709581
Finland,FIN,1430775,4521522
France,FRA,90395908,158477834
French Polynesia,PYF,76578,186219
Gabon,GAB,48668,310170
Gambia,GMB,12415,452514
Georgia,GEO,1762206,1645776
Germany,DEU,57763003,115681002
Ghana,GHA,168616,11371567
Gibraltar,GIB,20069,41654
Greece,GRC,4838811,7926591
Greenland,GRL,11971,38659
Grenada,GRD,19473,44019
Guatemala,GTM,1112550,8735448
Guernsey,GGY,30992,47995
Guinea,GIN,37652,5093664
Guinea-Bissau,GNB,8796,587187
Guyana,GUY,71209,485891
