Country Name,3 letter country code,Total confirmed cases,Total deceased,Total vaccinations,Deceased to Confirmed cases %
Andorra,AND,46147,155,57317,0.33588315600147356
Azerbaijan,AZE,818634,9873,5373253,1.2060334655047311
Democratic Republic of the Congo,COD,107130,1422,4386801,1.3273592831139738
Central African Republic,CAF,14903,113,1454656,0.7582365966583909
Ivory Coast,CIV,86973,822,10721755,0.9451208995895278
Costa Rica,CRI,1105792,8913,4463581,0.8060286202106726
Gibraltar,GIB,20069,108,41654,0.538143405251881
Ireland,IRL,1660635,7901,4095768,0.4757818545315497
Saint Lucia,LCA,28959,393,59973,1.3570910597741634
Morocco,MAR,1264711,16276,22638416,1.2869343272890013
Monaco,MCO,14471,63,20426,0.4353534655517932
Macedonia,MKD,341889,9516,854256,2.783359511420373
Mauritius,MUS,260947,1024,1021934,0.3924168509314152
Nigeria,NGA,264617,3154,43817495,1.1919113284482856
Papua New Guinea,PNG,44931,664,347753,1.4778215485967372
Seychelles,SYC,46358,169,85397,0.3645541222658441
Saint Helena,SHN,0,0,4254,0.0
Somalia,SOM,27197,1361,3668114,5.00422840754495
Suriname,SUR,81078,1384,267820,1.7069981992649055
Swaziland,SWZ,73374,1422,491715,1.9380161910213427
Turks and Caicos Islands,TCA,6380,36,32338,0.5642633228840125
Tunisia,TUN,1145163,29243,8896848,2.5536102720748053
Germany,DEU,57763003,389150,115681002,0.6737011231912579
France,FRA,90395908,320054,158477834,0.3540580620087361
Thailand,THA,9342446,65182,56972124,0.6976973696181921
Armenia,ARM,439302,8669,1129104,1.9733577356806935
Bahrain,BHR,674909,1518,1201437,0.22491921133071274
Brunei,BRN,224610,130,449429,0.05787809981746138
Bahamas,BHS,37171,830,172588,2.232923515643916
Belize,BLZ,68612,680,250319,0.9910802775024777
Republic of the Congo,COG,24775,386,681463,1.5580221997981836
China,CHN,7758224,32624,680773000,0.4205086112491725
Dominica,DMA,14852,68,32872,0.45785079450579047
Ecuador,ECU,999837,35884,15237316,3.5889850045557425
Faroe Islands,FRO,34658,28,37722,0.08078942812626233
Gabon,GAB,48668,306,310170,0.6287498972630887
Georgia,GEO,1762206,16900,1645776,0.9590252217958627
Ghana,GHA,168616,1459,11371567,0.86527968876026
Guinea,GIN,37652,449,5093664,1.1924997344098587
Jamaica,JAM,150909,3286,830330,2.1774711912477054
Jordan,JOR,1742256,14114,4821579,0.8100990899156036
Lebanon,LBN,1213200,10650,2648351,0.8778437190900099
Montserrat,MSR,1326,8,2086,0.6033182503770739
Palau,PLW,5459,6,20165,0.1099102399706906
Qatar,QAT,438499,682,2685749,0.15553057133539644
Saudi Arabia,SAU,814829,9322,10969797,1.144043719602518
Sudan,SDN,76591,4961,6651268,6.477262341528378
San Marino,SMR,20552,118,26322,0.5741533670688984
Turkmenistan,TKM,0,0,2937760,0.0
Samoa,WSM,15889,29,222996,0.18251620618037637
United States of America,USA,272181074,3054446,519008567,1.1222110175081461
Antigua and Barbuda,ATG,9008,145,64091,1.6096802841918294
Bangladesh,BGD,2559498,29337,131389148,1.1462013254161558
Bulgaria,BGR,1250250,37663,2099212,3.0124375124975007
Benin,BEN,27638,163,3671646,0.5897677111223677
Belarus,BLR,994037,7118,6498901,0.7160699249625517
Canada,CAN,7914343,167195,93796514,2.1125569109147784
Switzerland,CHE,8109161,27100,12078678,0.3341899365421404
Cuba,CUB,1110948,8530,10631102,0.7678127149065482
Egypt,EGY,515348,24796,52691386,4.8115060114718595
Guernsey,GGY,30992,62,47995,0.20005162622612288
Equatorial Guinea,GNQ,16894,183,264344,1.0832248135432698
Guinea-Bissau,GNB,8796,175,587187,1.9895407003183265
Italy,ITA,63645029,352921,96840043,0.5545146345993495
Kyrgyzstan,KGZ,205920,2991,1594808,1.4525058275058276
South Korea,KOR,24284819,27929,45070438,0.1150060043684081
Kazakhstan,KAZ,1482094,19047,10829480,1.2851411583880645
Mali,MLI,32385,739,2203178,2.2819206422726572
Namibia,NAM,166645,4077,586652,2.446518047346155
Nepal,NPL,999121,12015,26605011,1.20255704764488
Niue,NIU,78,0,1650,0.0
Serbia,SRB,2324719,16846,3347075,0.7246467207434533
Slovenia,SVN,1146874,7234,1465398,0.6307580431677761
Chad,TCD,7558,193,3733869,2.5535856046573167
Tokelau,TKL,0,0,1339,0.0
Turkey,TUR,16852382,101068,54854453,0.5997253088613823
Tanzania,TZA,39253,845,19658725,2.1527017043283316
Uzbekistan,UZB,244006,1637,21051293,0.6708851421686352
Colombia,COL,17784672,476778,41884807,2.68083662155816
Cyprus,CYP,579899,1173,665446,0.20227660333954706
Denmark,DNK,3283706,6987,4816889,0.2127778796274697
Grenada,GRD,19473,236,44019,1.2119344733733888
Greenland,GRL,11971,21,38659,0.1754239411912121
Croatia,HRV,1222007,16817,2309901,1.376178696194048
Israel,ISR,12717008,19625,18210008,0.15432089057426088
Isle of Man,IMN,38008,116,65663,0.3051989054935803
Iran,IRN,7540962,144243,64978822,1.9127930892636775
Kuwait,KWT,657745,2563,3306742,0.3896646876829166
Liechtenstein,LIE,19356,85,26497,0.4391403182475718
Latvia,LVA,912002,5965,1346183,0.6540555832114403
Libya,LBY,530589,6685,2303655,1.259920578828434
Mauritania,MRT,62778,993,2005049,1.5817643123387173
Malawi,MWI,87842,2675,3036122,3.0452403178434007
Niger,NER,9388,312,3740079,3.323391563698338
Oman,OMN,397993,4628,3269526,1.1628345222152148
Poland,POL,14895685,321210,66744509,2.1563962986596454
Pitcairn Islands,PCN,4,0,0,0.0
Palestine,PSE,702768,5707,0,0.8120745395350956
Portugal,PRT,5495738,26581,9746410,0.48366570604348313
El Salvador,SLV,201785,4228,4630037,2.095299452387442
Syria,SYR,57197,3163,2940095,5.530010315226323
Uganda,UGA,169001,3628,18386089,2.1467328595688784
Czech Republic,CZE,12154031,122796,13947454,1.0103314694523982
Hong Kong,HKG,15441,216,6837449,1.3988731299786283
New Zealand,NZL,1746283,2955,4297219,0.16921655882809372
Aruba,ABW,42970,228,74151,0.5306027461019316
Burkina Faso,BFA,21128,387,2676883,1.8316925407042788
Bhutan,BTN,61419,21,695693,0.03419137400478679
Curaçao,CUW,45345,287,93067,0.6329253500937259
Iceland,ISL,205284,213,304895,0.10375869527094173
Kiribati,KIR,3430,13,82774,0.37900874635568516
Cayman Islands,CYM,30545,31,61663,0.10148960550008185
Madagascar,MDG,66652,1410,1521766,2.1154654023885255
New Caledonia,NCL,74222,314,190408,0.423055158847781
French Polynesia,PYF,76578,649,186219,0.847501893494215
Russia,RUS,32627601,706791,84004373,2.1662364940652545
