Country Name,Total confirmed cases,Total deceased,Total vaccinations,Deceased to Confirmed cases %,Rank,CCA3,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
Andorra,46147,155,57317,0.33588315600147356,203,AND,Andorra la Vella,Europe,79824,77700,71746,71519,66097,53569,35611,19860,468,170.5641,1.01,0.0
Azerbaijan,818634,9873,5373253,1.2060334655047311,91,AZE,Baku,Asia,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,86600,119.6082,1.0044,0.13
Central African Republic,14903,113,1454656,0.7582365966583909,117,CAF,Bangui,Africa,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,622984,8.9555,1.0224,0.07
Ivory Coast,86973,822,10721755,0.9451208995895278,52,CIV,Yamoussoukro,Africa,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,322463,87.3295,1.0248,0.35
Costa Rica,1105792,8913,4463581,0.8060286202106726,124,CRI,San José,North America,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,51100,101.3861,1.0052,0.06
Gibraltar,20069,108,41654,0.538143405251881,219,GIB,Gibraltar,Europe,32649,32709,32520,31262,27741,27317,28734,26685,6,5441.5,0.9994,0.0
Ireland,1660635,7901,4095768,0.4757818545315497,125,IRL,Dublin,Europe,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,70273,71.4799,1.0073,0.06
Saint Lucia,28959,393,59973,1.3570910597741634,190,LCA,Castries,North America,179857,179237,175623,170935,159500,142301,121633,103090,616,291.9756,1.0011,0.0
Morocco,1264711,16276,22638416,1.2869343272890013,40,MAR,Rabat,Africa,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,446550,83.883,1.0103,0.47
Monaco,14471,63,20426,0.4353534655517932,217,MCO,Monaco,Europe,36469,36922,36760,33178,32465,30329,27076,24270,2,18234.5,0.9941,0.0
Mauritius,260947,1024,1021934,0.3924168509314152,157,MUS,Port Louis,Africa,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040,636.9946,1.0004,0.02
Nigeria,264617,3154,43817495,1.1919113284482856,6,NGA,Abuja,Africa,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,923768,236.5759,1.0241,2.74
Papua New Guinea,44931,664,347753,1.4778215485967372,93,PNG,Port Moresby,Oceania,10142619,9749640,8682174,7583269,5508297,3864972,3104788,2489059,462840,21.9139,1.0194,0.13
Seychelles,46358,169,85397,0.3645541222658441,196,SYC,Victoria,Africa,107118,105530,99240,92409,80060,71057,65290,54379,452,236.9867,1.0061,0.0
Somalia,27197,1361,3668114,5.00422840754495,70,SOM,Mogadishu,Africa,17597511,16537016,13763906,12026649,8721465,6999096,5892224,3720977,637657,27.5971,1.0312,0.22
Suriname,81078,1384,267820,1.7069981992649055,170,SUR,Paramaribo,South America,618040,607065,575475,546080,478998,412756,375112,379918,163820,3.7727,1.0082,0.01
Turks and Caicos Islands,6380,36,32338,0.5642633228840125,212,TCA,Cockburn Town,North America,45703,44276,36538,29726,18744,11709,7598,5665,948,48.2099,1.0131,0.0
Tunisia,1145163,29243,8896848,2.5536102720748053,79,TUN,Tunis,Africa,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,163610,75.5218,1.0076,0.15
Germany,57763003,389150,115681002,0.6737011231912579,19,DEU,Berlin,Europe,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,233.4544,0.9995,1.05
France,90395908,320054,158477834,0.3540580620087361,23,FRA,Paris,Europe,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,117.1419,1.0015,0.81
Thailand,9342446,65182,56972124,0.6976973696181921,20,THA,Bangkok,Asia,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,513120,139.7276,1.0013,0.9
Armenia,439302,8669,1129104,1.9733577356806935,140,ARM,Yerevan,Asia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,93.4831,0.9962,0.03
Bahrain,674909,1518,1201437,0.22491921133071274,154,BHR,Manama,Asia,1472233,1477469,1362142,1213645,711442,517418,362595,222555,765,1924.4876,1.0061,0.02
Brunei,224610,130,449429,0.05787809981746138,175,BRN,Bandar Seri Begawan,Asia,449002,441725,421437,396053,333926,261928,187921,133343,5765,77.8841,1.0081,0.01
Bahamas,37171,830,172588,2.232923515643916,176,BHS,Nassau,North America,409984,406471,392697,373272,325014,270679,223752,179129,13943,29.4043,1.0051,0.01
Belize,68612,680,250319,0.9910802775024777,177,BLZ,Belmopan,North America,405272,394921,359871,322106,240406,182589,145133,120905,22966,17.6466,1.0131,0.01
Republic of the Congo,24775,386,681463,1.5580221997981836,114,COG,Brazzaville,Africa,5970424,5702174,5064386,4437884,3134030,2385435,1829256,1396989,342000,17.4574,1.0231,0.07
China,7758224,32624,680773000,0.4205086112491725,1,CHN,Beijing,Asia,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,9706961,146.8933,1.0,17.88
Dominica,14852,68,32872,0.45785079450579047,204,DMA,Roseau,North America,72737,71995,70007,68755,68346,69481,72978,68895,751,96.8535,1.0045,0.0
Ecuador,999837,35884,15237316,3.5889850045557425,67,ECU,Quito,South America,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841,65.0229,1.0114,0.23
Faroe Islands,34658,28,37722,0.08078942812626233,209,FRO,Tórshavn,Europe,53090,52415,48816,48410,45660,47479,43054,38416,1393,38.112,1.0038,0.0
Gabon,48668,306,310170,0.6287498972630887,146,GAB,Libreville,Africa,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668,8.9252,1.0204,0.03
